 FECHA ; RENOVACION_ESAL ; INSCRIPCION_ACTAS_DOC_ESAL ; CERTIFICADOS_ESAL ; FORMULARIOS_ESAL ; INGRESOS_TOTAL_DIA ; MATRICULAS_ESAL ; MATRICULA_RUP ; INGRESOS_RENOVACIONES ; INGRESOS_CERTIFICADOS ; INGRESOS_EXPEDICION_COPIAS ; INGRESOS_MATRICULAS ; INGRESOS_ESAL ; INSCRIPCION_RUP ; RENOVACION_RUP ; ACTUALIZACION_RUP ; CERTIFICADOS_RUP ; INGRESOS_RUP ; INGRESOS_RUNEOL ; INGRESOS_SERVICIOS_ESPECIALES ; MATRICULA_COMERCIANTE ; RENOVADOS_COMERCIANTE ; RENOVADOS_ESAL ; RENOVADOS_RUP ; CANTIDAD_RENOVACIONES ; CANT_AFIL_FIDELIZADOS ; AFILIADOS_RETIRADOS ; CANT_AFIL_NUEVOS_DESP_CAMP_REN ; CANT_AFIL_NUEVOS_EN_CAMP_REN ; TOTAL_CANT_AFILIADOS ; FORMULARIOS_Y_COPIAS_RUP ; AFIL_INGRESOS_FIDEL ; AFIL_INGRESOS_NUEVOS ; INGRESOS_DERECHOS_DE_I ; INGRESOS_FORMU_DE_REGISTRO_M 
5/01/2020; $51,190,000 ; $4,117,300 ; $4,831,200 ;$ 585,60; $1,191,472,016 ;5;0; $901,951,000 ; $78,819,100 ; $-   ; $26,976,000 ; $60,724,100 ; $17,280,000 ; $33,984,000 ; $4,004,000 ; $15,028,000 ; $70,296,000 ;$ 90,00;$ 782,22;358;1329;88;60;1460;75;0;0;4;79;0; $103,968,200.00 ; $342,000.00 ; $39,944,700.00 ; $11,888,900.00 
6/01/2020; $159,416,000 ; $6,355,200 ; $6,703,900 ; $1,915,400 ; $3,340,832,366 ;17;0; $2,741,226,000 ; $79,131,800 ;$ 88,40; $71,768,000 ; $174,390,500 ; $35,136,000 ; $102,528,000 ; $4,620,000 ; $21,320,000 ; $163,604,000 ;$ 270,00; $1,100,770 ;1083;4119;282;131;4370;257;6;0;1;258;0; $176,800,050.00 ; $-   ; $74,001,000.00 ; $35,251,900.00 
7/01/2020; $364,156,000 ; $10,626,900 ; $8,625,400 ; $4,440,800 ; $10,826,558,247 ;32;0; $9,497,181,000 ; $113,909,500 ;$ 210,08; $84,746,000 ; $387,849,100 ; $70,272,000 ; $439,488,000 ; $4,928,000 ; $28,392,000 ; $543,080,000 ;$ 720,00; $2,150,263 ;1288;14349;660;586;14693;540;311;3;12;555;0; $286,977,950.00 ; $4,394,900.00 ; $94,671,800.00 ; $102,040,500.00 
8/01/2020; $72,639,000 ; $9,512,000 ; $7,570,100 ; $1,683,600 ; $2,034,807,912 ;34;0; $1,539,713,890 ; $103,270,700 ;$ 163,59; $88,417,000 ; $91,404,700 ; $55,296,000 ;-$ 554,00; $7,084,000 ; $25,948,000 ; $87,774,000 ;$ 360,00; $1,844,432 ;1393;3494;219;133;3639;0;1;2;0;2;0; $89,700.00 ; $2,218,500.00 ; $89,737,000.00 ; $32,122,600.00 
9/01/2020; $64,232,000 ; $12,159,000 ; $9,790,500 ; $1,860,500 ; $1,602,113,564 ;70;0; $1,064,171,000 ; $110,945,900 ;$ 354,73; $115,396,000 ; $88,042,000 ; $44,928,000 ; $-   ; $16,324,000 ; $23,192,000 ; $84,444,000 ;$ 495,00; $1,956,432 ;1799;3035;223;31;3172;0;2;18;0;18;0; $-   ; $2,269,500.00 ; $104,594,600.00 ; $31,713,900.00 
10/01/2020; $47,214,000 ; $12,472,100 ; $9,644,100 ; $1,616,500 ; $1,332,266,640 ;68;0; $803,085,000 ; $110,434,800 ;$ 413,85; $121,363,000 ; $70,946,700 ; $50,112,000 ; $-   ; $12,012,000 ; $21,840,000 ; $83,964,000 ;$ 630,00; $2,186,986 ;1787;2509;189;12;2640;0;1;23;0;23;0; $-   ; $7,818,500.00 ; $110,566,200.00 ; $28,676,100.00 
11/01/2020; $31,709,000 ; $11,627,000 ; $8,973,100 ; $1,317,600 ; $1,019,667,538 ;66;0; $591,403,000 ; $106,819,900 ;$ 255,43; $98,552,000 ; $53,626,700 ; $28,800,000 ;-$ 576,00; $11,396,000 ; $20,072,000 ; $59,692,000 ;$ 204,20;$ 677,11;1392;1650;138;5;1736;0;1;10;0;10;0; $-   ; $3,743,900.00 ; $87,984,200.00 ; $20,453,000.00 
12/01/2020; $28,324,000 ; $11,073,000 ; $7,881,200 ; $1,006,500 ; $823,382,029 ;45;0; $461,570,000 ; $85,265,000 ;$ 115,37; $58,537,000 ; $48,284,700 ; $25,920,000 ; $(1,152,000); $6,160,000 ; $17,524,000 ; $48,452,000 ;$ 270,00; $1,821,155 ;896;1377;114;2;1430;0;45;6;0;6;0; $-   ; $1,736,900.00 ; $103,883,900.00 ; $15,182,900.00 
1/01/2021; $48,199,100 ; $9,506,400 ; $8,463,100 ; $1,859,900 ; $1,201,018,552 ;38;0; $751,685,650 ; $102,322,950 ;$ 242,80; $107,337,000 ; $68,028,500 ; $16,447,000 ; $4,696,000 ; $9,420,000 ; $16,165,000 ; $46,728,000 ;$ 900,00; $2,594,000 ;1668;2605;208;6;3131;17;4;0;4;21;0; $1,670,200.00 ; $574,100.00 ; $89,918,150.00 ; $31,261,500.00 
2/01/2021; $91,409,900 ; $12,267,300 ; $9,474,000 ; $2,914,000 ; $1,958,437,634 ;59;0; $1,381,969,801 ; $114,295,250 ;$ 183,11; $122,449,000 ; $116,065,200 ; $23,513,000 ; $11,164,000 ; $5,966,000 ; $18,921,000 ; $59,564,000 ; $2,037,300 ; $4,067,277 ;1792;4732;380;18;5179;98;0;0;5;103;0; $28,336,050.00 ; $3,158,700.00 ; $112,722,300.00 ; $45,084,400.00 
